Event	ID	Name			Wwise Object Path	Notes
	18265771	VOX_Judge_tiendrapluslongtempsremporte			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_tiendrapluslongtempsremporte	
	22341111	Play_VOX_Agathe_Emotion_happy			\Pendrillon\Dialogues\Emotions\Agathe\Play_VOX_Agathe_Emotion_happy	
	23709999	VOX_Judge_telsujetpaslegere			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_telsujetpaslegere	
	23769754	Play_AMB_SC_Theater_CrowdChatter			\Pendrillon\Ambiances\PlayAmbiances\Play_AMB_SC_Theater_CrowdChatter	
	35443424	Play_MUS_Story_SC_Barque_Intro			\Pendrillon\Music\SC_Barque\Play_MUS_Story_SC_Barque_Intro	
	36165032	VOX_Player_innattendus			\Pendrillon\Dialogues\FullText\Player\VOX_Player_innattendus	
	37105197	Play_SFX_Combat_NPC_RoyalGuard_Attack1			\Pendrillon\SFX\NPC\Bouffon\Play_SFX_Combat_NPC_RoyalGuard_Attack1	
	38135724	VOX_Judge_corruption			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_corruption	
	38148785	VOX_Player_lamemepenseeesprit			\Pendrillon\Dialogues\FullText\Player\VOX_Player_lamemepenseeesprit	
	52818499	VOX_Judge_jevoisjevois			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_jevoisjevois	
	52972433	VOX_Judge_iciplusdenom			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_iciplusdenom	
	80938380	VOX_Judge_blaspheme			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_blaspheme	
	89774998	VOX_Capucine_eneffetfrappes			\Pendrillon\Dialogues\FullText\Capucine\VOX_Capucine_eneffetfrappes	
	90313845	VOX_Player_gardesirontchercher			\Pendrillon\Dialogues\FullText\Player\VOX_Player_gardesirontchercher	
	93606016	VOX_Player_rientrouve			\Pendrillon\Dialogues\FullText\Player\VOX_Player_rientrouve	
	112100220	VOX_Judge_jugelaisserajuresdecidersortpuisse			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_jugelaisserajuresdecidersortpuisse	
	113028883	VOX_Player_pasmemelareine			\Pendrillon\Dialogues\FullText\Player\VOX_Player_pasmemelareine	
	116023693	VOX_Capucine_nulignorerloi			\Pendrillon\Dialogues\FullText\Capucine\VOX_Capucine_nulignorerloi	
	131227763	VOX_Player_Octave			\Pendrillon\Dialogues\FullText\Player\VOX_Player_Octave	
	134080830	Play_VOX_Souffleur_Emotion_talk			\Pendrillon\Dialogues\Emotions\Souffleur\Play_VOX_Souffleur_Emotion_talk	
	137330587	VOX_Judge_jejappellebarre			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_jejappellebarre	
	139643743	Stop_VOX_ALL			\Pendrillon\Dialogues\Stop_VOX_ALL	
	143258643	VOX_Judge_etmaintenant			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_etmaintenant	
	145295382	VOX_Player_doisjerappeler			\Pendrillon\Dialogues\FullText\Player\VOX_Player_doisjerappeler	
	156872525	Play_VOX_Naida_Emotion_surprised			\Pendrillon\Dialogues\Emotions\Naida\Play_VOX_Naida_Emotion_surprised	
	166661740	VOX_Player_constanceinconstance			\Pendrillon\Dialogues\FullText\Player\VOX_Player_constanceinconstance	
	174256388	VOX_Ferryman_baratinpasdernier			\Pendrillon\Dialogues\FullText\Passeur\VOX_Ferryman_baratinpasdernier	
	174305894	Play_VOX_Agathe_Emotion_angry			\Pendrillon\Dialogues\Emotions\Agathe\Play_VOX_Agathe_Emotion_angry	
	177157417	Play_VOX_Naida_Emotion_stressed			\Pendrillon\Dialogues\Emotions\Naida\Play_VOX_Naida_Emotion_stressed	
	179724235	VOX_Judge_estcevrailadeesse			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_estcevrailadeesse	
	180938269	VOX_Judge_creaturepasparole			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_creaturepasparole	
	189145722	VOX_Capucine_cestdonccela			\Pendrillon\Dialogues\FullText\Capucine\VOX_Capucine_cestdonccela	
	192490067	Play_VOX_Souffleur_Emotion_stressed			\Pendrillon\Dialogues\Emotions\Souffleur\Play_VOX_Souffleur_Emotion_stressed	
	201118363	VOX_Player_lepeupleasurvecu			\Pendrillon\Dialogues\FullText\Player\VOX_Player_lepeupleasurvecu	
	201552957	VOX_Ferryman_affrontetondestin			\Pendrillon\Dialogues\FullText\Passeur\VOX_Ferryman_affrontetondestin	
	209428616	VOX_Player_peutonendireautant			\Pendrillon\Dialogues\FullText\Player\VOX_Player_peutonendireautant	
	212051153	VOX_Player_oumenecheminpasseur			\Pendrillon\Dialogues\FullText\Player\VOX_Player_oumenecheminpasseur	
